ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,created_by,title,6_Plot_Name,7_Date,8_Time,lat_9_Plot_Center,long_9_Plot_Center,accuracy_9_Plot_Center,UTM_Northing_9_Plot_Center,UTM_Easting_9_Plot_Center,UTM_Zone_9_Plot_Center,10_Plot_Type,11_Quadrat,35_Graminoids,36_Forbs,37_Moss,38_Lichen,39_Shrub,40_NPV,41_Rock,42_Soil,43_Overall_Green,44_Species_1,45_Species_1,46_Species_2,47_Species_2,48_Species_3,49_Species_3,50_Species_4,51_Species_4,52_Species_5,53_Species_5,55_North_Toward_Cent,56_West_Toward_Cente,57_South_Toward_Cent,58_East_Toward_Cente,59_Photo_Down,60_Plot_Sketch_Photo,61_Plot_Notes
c40acb1c-29d2-4961-8561-7dbe881dd8bf,57fd4d72-6926-458b-b53e-953bf1926df2,2022-08-31T17:11:44.208Z,2022-09-05T16:49:49.000Z,me@kylekovach.com,BERM_0003,BERM_0003,8/31/2022,11:09:16,53.999758,-105.113204,6,5983500,492579,13U,Single Species Patch Tree/Shrub,0,N/A,N/A,0 - 10%,N/A,N/A,10 - 25%,N/A,N/A,50 - 75%,Pice mariana,50 - 75%,Moss,25 - 50%,Horse tail,0 - 10%,,N/A,,N/A,c40acb1c-29d2-4961-8561-7dbe881dd8bf_1661965860.jpg,,,,c40acb1c-29d2-4961-8561-7dbe881dd8bf_1661965896.jpg,,
7b7b3298-e71f-41b8-b1a1-2f8ba7239baa,57fd4d72-6926-458b-b53e-953bf1926df2,2022-08-31T16:53:24.032Z,2022-09-05T16:49:53.000Z,me@kylekovach.com,BERM_0002,BERM_0002,8/31/2022,10:47:39,53.998056,-105.113125,5,5983311,492584,13U,Single Species Patch Tree/Shrub,0,N/A,0 - 10%,0 - 10%,N/A,0 - 10%,0 - 10%,N/A,N/A,75 - 90%,Larix laricinia,75 - 90%,Willow,10 - 25%,Moss,0 - 10%,,N/A,,N/A,7b7b3298-e71f-41b8-b1a1-2f8ba7239baa_1661964786.jpg,,,,7b7b3298-e71f-41b8-b1a1-2f8ba7239baa_1661966284.jpg,,
f51779fb-7c69-4cbc-92a5-e2cf3bc370a1,57fd4d72-6926-458b-b53e-953bf1926df2,2022-08-30T21:02:07.117Z,2022-09-05T16:49:38.000Z,me@kylekovach.com,BERM_0001,BERM_0001,8/30/2022,14:49:21,53.915702,-104.691308,5,5974186,520275,13U,Single Species Patch Tree/Shrub,1,N/A,N/A,10 - 25%,25 - 50%,N/A,0 - 10%,N/A,N/A,50 - 75%,Pinus banksiana,50 - 75%,Lichen,25 - 50%,Moss,10 - 25%,,N/A,,N/A,f51779fb-7c69-4cbc-92a5-e2cf3bc370a1_1661893143.jpg,f51779fb-7c69-4cbc-92a5-e2cf3bc370a1_1661893180.jpg,f51779fb-7c69-4cbc-92a5-e2cf3bc370a1_1661893212.jpg,f51779fb-7c69-4cbc-92a5-e2cf3bc370a1_1661893241.jpg,f51779fb-7c69-4cbc-92a5-e2cf3bc370a1_1661893273.jpg,,
920f7c06-7d78-476b-ae9a-4e036b06cead,57fd4d72-6926-458b-b53e-953bf1926df2,2022-08-30T19:32:37.335Z,2022-09-05T16:49:25.000Z,me@kylekovach.com,BERM_0000,BERM_0000,8/30/2022,13:29:52,53.914802,-104.691055,5,5974086,520292,13U,Single Species Patch Tree/Shrub,1,N/A,50 - 75%,25 - 50%,N/A,50 - 75%,10 - 25%,N/A,N/A,75 - 90%,Pinus Banksiana,50 - 75%,Green Alder,25 - 50%,Oval Leaf Berry,25 - 50%,Moss,10 - 25%,Wild Sasperilla,0 - 10%,920f7c06-7d78-476b-ae9a-4e036b06cead_1661888566.jpg,920f7c06-7d78-476b-ae9a-4e036b06cead_1661888581.jpg,920f7c06-7d78-476b-ae9a-4e036b06cead_1661888602.jpg,920f7c06-7d78-476b-ae9a-4e036b06cead_1661888634.jpg,920f7c06-7d78-476b-ae9a-4e036b06cead_1661888684.jpg,,
1663f886-7cf2-41d7-ae7f-6f9a2c95ed25,a7d6e722-4732-465d-82ab-56f9bfaeb348,2022-08-10T22:23:37.516Z,2022-08-11T22:11:21.000Z,me@kylekovach.com,FAIR_0009,FAIR_0009,8/10/2022,14:20:33,64.980868,-147.902749,4,7206626,457400,6W,Single Species Patch Tree/Shrub,0,N/A,N/A,N/A,N/A,10 - 25%,75 - 90%,N/A,N/A,10 - 25%,,N/A,,N/A,,N/A,,N/A,,N/A,1663f886-7cf2-41d7-ae7f-6f9a2c95ed25_1660170135.jpg,1663f886-7cf2-41d7-ae7f-6f9a2c95ed25_1660170161.jpg,1663f886-7cf2-41d7-ae7f-6f9a2c95ed25_1660170186.jpg,1663f886-7cf2-41d7-ae7f-6f9a2c95ed25_1660170208.jpg,1663f886-7cf2-41d7-ae7f-6f9a2c95ed25_1660170089.jpg,,
8de2b259-497d-45a3-8be1-0794b451d189,a7d6e722-4732-465d-82ab-56f9bfaeb348,2022-08-10T22:03:05.890Z,2022-08-17T22:08:35.000Z,me@kylekovach.com,FAIR_0008,FAIR_0008,8/10/2022,13:52:00,64.972527,-147.916922,4,7205706,456717,6W,Mixed Species Box Ground,4,10 - 25%,0 - 10%,0 - 10%,0 - 10%,50 - 75%,25 - 50%,N/A,N/A,50 - 75%,Ledum groenlandicum,25 - 50%,Alder,10 - 25%,,N/A,,N/A,,N/A,8de2b259-497d-45a3-8be1-0794b451d189_1660168788.jpg,8de2b259-497d-45a3-8be1-0794b451d189_1660168808.jpg,8de2b259-497d-45a3-8be1-0794b451d189_1660168838.jpg,8de2b259-497d-45a3-8be1-0794b451d189_1660168885.jpg,8de2b259-497d-45a3-8be1-0794b451d189_1660168963.jpg,,
8628f67e-4f2b-48a2-8acb-04a5c0985da6,a7d6e722-4732-465d-82ab-56f9bfaeb348,2022-08-10T20:34:15.439Z,2022-08-17T22:08:33.000Z,me@kylekovach.com,FAR_0007,FAR_0007,8/10/2022,12:27:29,64.947039,-148.30398,4,7203187,438390,6W,Single Species Box Ground,2,0 - 10%,0 - 10%,N/A,0 - 10%,25 - 50%,50 - 75%,N/A,N/A,25 - 50%,Betula glandulosa,25 - 50%,,N/A,,N/A,,N/A,,N/A,8628f67e-4f2b-48a2-8acb-04a5c0985da6_1660163587.jpg,8628f67e-4f2b-48a2-8acb-04a5c0985da6_1660163604.jpg,8628f67e-4f2b-48a2-8acb-04a5c0985da6_1660163565.jpg,8628f67e-4f2b-48a2-8acb-04a5c0985da6_1660163624.jpg,8628f67e-4f2b-48a2-8acb-04a5c0985da6_1660163639.jpg,,Firescar
5c00cd99-4885-47f6-8bf2-339a1c07266b,a7d6e722-4732-465d-82ab-56f9bfaeb348,2022-08-10T20:22:10.939Z,2022-08-17T22:08:31.000Z,me@kylekovach.com,FAIR_0006,FAIR_0006,8/10/2022,12:09:32,64.946931,-148.304519,5,7203175,438364,6W,Mixed Species Box Ground,4,25 - 50%,0 - 10%,0 - 10%,N/A,50 - 75%,10 - 25%,N/A,N/A,75 - 90%,Ledum groenlandicum,10 - 25%,Betula nana,10 - 25%,Blueberry,10 - 25%,Grass 1,0 - 10%,Sedge 1,10 - 25%,5c00cd99-4885-47f6-8bf2-339a1c07266b_1660162830.jpg,5c00cd99-4885-47f6-8bf2-339a1c07266b_1660162849.jpg,5c00cd99-4885-47f6-8bf2-339a1c07266b_1660162875.jpg,5c00cd99-4885-47f6-8bf2-339a1c07266b_1660162898.jpg,5c00cd99-4885-47f6-8bf2-339a1c07266b_1660162915.jpg,,Firescar
3cc231bb-b19b-4711-8b9c-fac7cc9d4ed0,a7d6e722-4732-465d-82ab-56f9bfaeb348,2022-08-10T19:38:24.345Z,2022-08-17T22:08:29.000Z,me@kylekovach.com,FAIR_0005,FAIR_0005,8/10/2022,11:26:04,64.958943,-148.377702,4,7204587,434936,6W,Mixed Species Box Ground,4,10 - 25%,0 - 10%,10 - 25%,0 - 10%,50 - 75%,10 - 25%,0 - 10%,N/A,75 - 90%,Vaccinium uliginosum,10 - 25%,Betula nana,10 - 25%,,N/A,,N/A,,N/A,3cc231bb-b19b-4711-8b9c-fac7cc9d4ed0_1660160204.jpg,3cc231bb-b19b-4711-8b9c-fac7cc9d4ed0_1660160235.jpg,3cc231bb-b19b-4711-8b9c-fac7cc9d4ed0_1660160249.jpg,3cc231bb-b19b-4711-8b9c-fac7cc9d4ed0_1660160278.jpg,3cc231bb-b19b-4711-8b9c-fac7cc9d4ed0_1660160294.jpg,,
0e47bbf9-6ee2-4df7-a55b-63bec9eb6643,a7d6e722-4732-465d-82ab-56f9bfaeb348,2022-08-10T18:50:37.274Z,2022-08-11T22:10:17.000Z,me@kylekovach.com,FAIR_0004,FAIR_0004,8/10/2022,10:43:22,64.952591,-148.36544,4,7203867,435500,6W,Mixed Species Patch Tree/Shrub,0,25 - 50%,25 - 50%,0 - 10%,N/A,N/A,10 - 25%,N/A,N/A,75 - 90%,Fireweed,25 - 50%,,N/A,,N/A,,N/A,,N/A,0e47bbf9-6ee2-4df7-a55b-63bec9eb6643_1660157254.jpg,0e47bbf9-6ee2-4df7-a55b-63bec9eb6643_1660157298.jpg,0e47bbf9-6ee2-4df7-a55b-63bec9eb6643_1660157377.jpg,0e47bbf9-6ee2-4df7-a55b-63bec9eb6643_1660157410.jpg,0e47bbf9-6ee2-4df7-a55b-63bec9eb6643_1660157180.jpg,,
9d492603-75f0-4a3f-a50e-e1a3adf7d333,4225abbb-913a-4fdd-b454-23abd7da79c2,2022-08-08T23:07:22.935Z,2022-08-11T22:13:17.000Z,me@kylekovach.com,KENA_0004,KENA_0004,8/8/2022,15:03:46,60.468926,-150.164694,8,6706992,655870,5V,Mixed Species Patch Tree/Shrub,0,N/A,0 - 10%,0 - 10%,N/A,N/A,90 - 100%,N/A,N/A,0 - 10%,,N/A,,N/A,,N/A,,N/A,,N/A,9d492603-75f0-4a3f-a50e-e1a3adf7d333_1659999896.jpg,9d492603-75f0-4a3f-a50e-e1a3adf7d333_1659999924.jpg,9d492603-75f0-4a3f-a50e-e1a3adf7d333_1659999975.jpg,9d492603-75f0-4a3f-a50e-e1a3adf7d333_1660000016.jpg,9d492603-75f0-4a3f-a50e-e1a3adf7d333_1659999872.jpg,,
113615a8-ddd1-43ec-862d-cb5c74eaeb4c,4225abbb-913a-4fdd-b454-23abd7da79c2,2022-08-08T22:45:22.238Z,2022-08-11T22:13:10.000Z,me@kylekovach.com,KENA_0003,KENA_0003,8/8/2022,14:44:07,60.468052,-150.163826,4,6706897,655922,5V,Single Species Box Ground,0,N/A,90 - 100%,N/A,N/A,N/A,10 - 25%,N/A,N/A,75 - 90%,Fireweed,75 - 90%,,N/A,,N/A,,N/A,,N/A,,,,,113615a8-ddd1-43ec-862d-cb5c74eaeb4c_1659998701.jpg,,
3af7d8e3-b3b6-4c85-aedc-d02bc534bfc7,4225abbb-913a-4fdd-b454-23abd7da79c2,2022-08-08T22:32:27.203Z,2022-08-11T22:12:58.000Z,me@kylekovach.com,KENA_0002,KENA_0002,8/8/2022,14:27:36,60.467581,-150.162967,4,6706847,655972,5V,Single Species Patch Tree/Shrub,0,10 - 25%,0 - 10%,0 - 10%,N/A,50 - 75%,10 - 25%,N/A,N/A,75 - 90%,Bramble,25 - 50%,Rose,10 - 25%,Horsetail,10 - 25%,,N/A,,N/A,3af7d8e3-b3b6-4c85-aedc-d02bc534bfc7_1659997817.jpg,3af7d8e3-b3b6-4c85-aedc-d02bc534bfc7_1659997842.jpg,3af7d8e3-b3b6-4c85-aedc-d02bc534bfc7_1659997906.jpg,3af7d8e3-b3b6-4c85-aedc-d02bc534bfc7_1659997932.jpg,3af7d8e3-b3b6-4c85-aedc-d02bc534bfc7_1659997776.jpg,,
54f1f2ac-81a3-418b-a55f-db201521db65,4225abbb-913a-4fdd-b454-23abd7da79c2,2022-08-08T21:03:56.310Z,2022-08-17T22:10:11.000Z,me@kylekovach.com,KENA_0001,KENA_0001,8/8/2022,12:52:56,60.523242,-150.559094,4,6712170,633971,5V,Mixed Species Box Ground,3,0 - 10%,50 - 75%,25 - 50%,N/A,50 - 75%,10 - 25%,N/A,N/A,75 - 90%,Betula nana,25 - 50%,Ledum decumbens,10 - 25%,Vaccinium uliginosum,10 - 25%,Andromeda polifolia,10 - 25%,,N/A,54f1f2ac-81a3-418b-a55f-db201521db65_1659992558.jpg,54f1f2ac-81a3-418b-a55f-db201521db65_1659992576.jpg,54f1f2ac-81a3-418b-a55f-db201521db65_1659992591.jpg,54f1f2ac-81a3-418b-a55f-db201521db65_1659992610.jpg,54f1f2ac-81a3-418b-a55f-db201521db65_1659992627.jpg,,
b522b68e-e4eb-45be-bced-3f7b9807a514,4225abbb-913a-4fdd-b454-23abd7da79c2,2022-08-08T20:12:10.001Z,2022-08-11T22:12:36.000Z,me@kylekovach.com,KENA_0000,KENA_0000,8/8/2022,12:08:54,60.517991,-150.55513,4,6711594,634210,5V,Mixed Species Patch Tree/Shrub,0,0 - 10%,0 - 10%,10 - 25%,N/A,0 - 10%,75 - 90%,N/A,N/A,10 - 25%,,N/A,,N/A,,N/A,,N/A,,N/A,b522b68e-e4eb-45be-bced-3f7b9807a514_1659989452.jpg,b522b68e-e4eb-45be-bced-3f7b9807a514_1659989474.jpg,b522b68e-e4eb-45be-bced-3f7b9807a514_1659989490.jpg,b522b68e-e4eb-45be-bced-3f7b9807a514_1659989508.jpg,b522b68e-e4eb-45be-bced-3f7b9807a514_1659989520.jpg,,
f38c1b14-d7e5-447a-af4b-0cf8e269e014,e954c48c-2ac1-452a-9253-76dfb45295b8,2022-08-06T21:40:28.725Z,2022-08-11T22:12:23.000Z,me@kylekovach.com,HAIN_0006,HAIN_0006,8/6/2022,14:36:36,61.145977,-138.575798,4,6781465,630492,7V,Mixed Species Box Tree/Shrub and Ground,0,N/A,N/A,25 - 50%,N/A,N/A,50 - 75%,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,f38c1b14-d7e5-447a-af4b-0cf8e269e014_1659821917.jpg,f38c1b14-d7e5-447a-af4b-0cf8e269e014_1659821948.jpg,f38c1b14-d7e5-447a-af4b-0cf8e269e014_1659821966.jpg,f38c1b14-d7e5-447a-af4b-0cf8e269e014_1659821991.jpg,f38c1b14-d7e5-447a-af4b-0cf8e269e014_1659822012.jpg,,
2d8de196-02cf-4976-88ee-ea593f37bdd1,e954c48c-2ac1-452a-9253-76dfb45295b8,2022-08-06T21:06:25.992Z,2022-08-11T22:12:17.000Z,me@kylekovach.com,HAIN_0005,HAIN_0005,8/6/2022,14:03:13,61.144689,-138.582631,4,6781308,630129,7V,Single Species Patch Tree/Shrub,0,N/A,N/A,N/A,N/A,10 - 25%,75 - 90%,N/A,N/A,10 - 25%,,N/A,,N/A,,N/A,,N/A,,N/A,2d8de196-02cf-4976-88ee-ea593f37bdd1_1659819897.jpg,2d8de196-02cf-4976-88ee-ea593f37bdd1_1659819918.jpg,2d8de196-02cf-4976-88ee-ea593f37bdd1_1659819941.jpg,2d8de196-02cf-4976-88ee-ea593f37bdd1_1659819960.jpg,2d8de196-02cf-4976-88ee-ea593f37bdd1_1659819975.jpg,,
790a56dc-81a8-43c1-8735-ae745cb503f2,e954c48c-2ac1-452a-9253-76dfb45295b8,2022-08-06T20:33:26.591Z,2022-08-11T22:12:13.000Z,me@kylekovach.com,HAIN_0004,HAIN_0004,8/6/2022,13:29:09,61.089906,-138.540329,4,6775294,632635,7V,Mixed Species Patch Tree/Shrub,0,0 - 10%,25 - 50%,10 - 25%,N/A,10 - 25%,25 - 50%,10 - 25%,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,790a56dc-81a8-43c1-8735-ae745cb503f2_1659817922.jpg,790a56dc-81a8-43c1-8735-ae745cb503f2_1659817942.jpg,790a56dc-81a8-43c1-8735-ae745cb503f2_1659817961.jpg,790a56dc-81a8-43c1-8735-ae745cb503f2_1659817977.jpg,790a56dc-81a8-43c1-8735-ae745cb503f2_1659817993.jpg,,
14ec9c31-f551-457f-b94f-137a3448dd64,e954c48c-2ac1-452a-9253-76dfb45295b8,2022-08-06T20:08:02.057Z,2022-08-17T22:10:08.000Z,me@kylekovach.com,HAIN_0003,HAIN_0003,8/6/2022,13:03:04,61.085241,-138.548342,5,6774758,632223,7V,Mixed Species Box Ground,2,0 - 10%,0 - 10%,0 - 10%,10 - 25%,10 - 25%,25 - 50%,10 - 25%,25 - 50%,25 - 50%,Artemisia alaskana/frigida,10 - 25%,,N/A,,N/A,,N/A,,N/A,14ec9c31-f551-457f-b94f-137a3448dd64_1659816398.jpg,14ec9c31-f551-457f-b94f-137a3448dd64_1659816414.jpg,14ec9c31-f551-457f-b94f-137a3448dd64_1659816440.jpg,14ec9c31-f551-457f-b94f-137a3448dd64_1659816459.jpg,14ec9c31-f551-457f-b94f-137a3448dd64_1659816473.jpg,,
794abbe3-eec3-4de9-9b8e-20c1bccee0da,e954c48c-2ac1-452a-9253-76dfb45295b8,2022-08-06T19:58:40.220Z,2022-08-17T22:10:07.000Z,me@kylekovach.com,HAIN_0002,HAIN_0002,8/6/2022,12:47:13,61.085281,-138.548244,6,6774763,632228,7V,Mixed Species Box Ground,4,10 - 25%,10 - 25%,N/A,N/A,50 - 75%,10 - 25%,0 - 10%,0 - 10%,50 - 75%,Arctostaphylos uva-ursi,25 - 50%,Juniperus horizontalis,10 - 25%,,N/A,,N/A,,N/A,794abbe3-eec3-4de9-9b8e-20c1bccee0da_1659815827.jpg,794abbe3-eec3-4de9-9b8e-20c1bccee0da_1659815848.jpg,794abbe3-eec3-4de9-9b8e-20c1bccee0da_1659815872.jpg,794abbe3-eec3-4de9-9b8e-20c1bccee0da_1659815889.jpg,794abbe3-eec3-4de9-9b8e-20c1bccee0da_1659815908.jpg,,
d3a28a98-853a-4c47-b70d-03d2a73ea4a4,e954c48c-2ac1-452a-9253-76dfb45295b8,2022-08-06T18:35:08.176Z,2022-08-11T22:11:43.000Z,me@kylekovach.com,HAIN_0001,HAIN_0001,8/6/2022,11:28:33,60.989443,-138.491587,5,6764209,635691,7V,Mixed Species Patch Tree/Shrub,0,0 - 10%,0 - 10%,10 - 25%,N/A,25 - 50%,50 - 75%,N/A,N/A,25 - 50%,,N/A,,N/A,,N/A,,N/A,,N/A,d3a28a98-853a-4c47-b70d-03d2a73ea4a4_1659810669.jpg,d3a28a98-853a-4c47-b70d-03d2a73ea4a4_1659810743.jpg,d3a28a98-853a-4c47-b70d-03d2a73ea4a4_1659810821.jpg,d3a28a98-853a-4c47-b70d-03d2a73ea4a4_1659810899.jpg,d3a28a98-853a-4c47-b70d-03d2a73ea4a4_1659810601.jpg,,
