ID- Full,Plot,Date Sampled,Julian Date,Year Sampled,Functional Group,Species,Snow Zone,%C,%N
JR170619-CIS-D55,5,6/19/2017,170,2017,Sedge,Carex,Intermediate,48.2,3.38
JR170619-CAS-D56,1,6/19/2017,170,2017,Sedge,Carex,Ambient,48,3.35
JR170619-CAS-D57,2,6/19/2017,170,2017,Sedge,Carex,Ambient,47.45,3.48
JR170619-CAS-D58,3,6/19/2017,170,2017,Sedge,Carex,Ambient,47.11,4.11
JR170619-CAS-D59,4,6/19/2017,170,2017,Sedge,Carex,Ambient,47.44,3.61
JR170619-CAS-D60,5,6/19/2017,170,2017,Sedge,Carex,Ambient,47.02,3.65
JR170619-LLS-D61,1,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Low,53.66,1.45
JR170619-LLS-D62,2,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Low,54.12,1.62
JR170619-LLS-D63,3,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Low,53.95,1.75
JR170619-LLS-D64,4,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Low,53.17,1.54
JR170619-LLS-D65,5,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Low,53.48,1.32
JR170619-LIS-D66,1,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Intermediate,53.38,1.31
JR170619-LIS-D67,2,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Intermediate,52.69,1.25
JR170619-LIS-D68,3,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Intermediate,53.45,1.16
JR170619-LIS-D69,4,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Intermediate,53.21,1.38
JR170619-LIS-D70,5,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Intermediate,52.67,1.64
JR170619-LAS-D71,1,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Ambient,53.16,1.53
JR170619-LAS-D72,2,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Ambient,53.72,1.67
JR170619-LAS-D73,3,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Ambient,52.92,1.39
JR170619-LAS-D74,4,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Ambient,52.93,1.47
JR170619-LAS-D75,5,6/19/2017,170,2017,Evergreen dwarf shrub,Ledum,Ambient,54.2,1.39
JR170619-VLS-D76,1,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Low,51.11,0.98
JR170619-VLS-D77,2,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Low,50.73,1.09
JR170619-VLS-D78,3,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Low,51.17,0.84
JR170619-VLS-D79,4,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Low,51.04,0.88
JR170619-VLS-D80,5,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Low,51.63,0.91
JR170619-VIS-D81,1,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,51.32,0.72
JR170619-VIS-D82,2,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,52.16,1.15
JR170619-VIS-D83,3,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,51.8,0.81
JR170619-VIS-D84,4,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,51.54,0.99
JR170619-VIS-D85,5,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,51.3,0.8
JR170619-VAS-D86,1,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.28,1.09
JR170619-VAS-D87,2,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.84,0.88
JR170619-VAS-D88,3,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.51,1.04
JR170619-VAS-D89,4,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.4,1.01
JR170619-VAS-D90,5,6/19/2017,170,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.59,1.01
JR170626-SLS-D91,1,6/26/2017,177,2017,Deciduous shrub,Salix,Low,48.49,2.79
JR170626-SLS-D92,2,6/26/2017,177,2017,Deciduous shrub,Salix,Low,52.48,2.87
JR170626-SLS-D93,3,6/26/2017,177,2017,Deciduous shrub,Salix,Low,52.46,3.15
JR170626-SLS-D94,4,6/26/2017,177,2017,Deciduous shrub,Salix,Low,52.23,2.74
JR170626-SIS-D96,1,6/26/2017,177,2017,Deciduous shrub,Salix,Intermediate,51.36,4.41
JR170626-SIS-D97,2,6/26/2017,177,2017,Deciduous shrub,Salix,Intermediate,51.33,3.39
JR170626-SIS-D98,3,6/26/2017,177,2017,Deciduous shrub,Salix,Intermediate,51.45,4.23
JR170626-SIS-D99,4,6/26/2017,177,2017,Deciduous shrub,Salix,Intermediate,49.68,3.87
JR170626-SIS-D100,5,6/26/2017,177,2017,Deciduous shrub,Salix,Intermediate,51.11,3.81
JR170626-SAS-D101,1,6/26/2017,177,2017,Deciduous shrub,Salix,Ambient,52.33,2.87
JR170626-SAS-D102,2,6/26/2017,177,2017,Deciduous shrub,Salix,Ambient,53.24,2.78
JR170626-SAS-D103,3,6/26/2017,177,2017,Deciduous shrub,Salix,Ambient,53.46,2.82
JR170626-SAS-D104,4,6/26/2017,177,2017,Deciduous shrub,Salix,Ambient,50.65,3
JR170626-SAS-D105,5,6/26/2017,177,2017,Deciduous shrub,Salix,Ambient,50.54,2.8
JR170626-BLS-D106,1,6/26/2017,177,2017,Deciduous shrub,Betula,Low,50.43,2.76
JR170626-BLS-D107,2,6/26/2017,177,2017,Deciduous shrub,Betula,Low,50.09,3
JR170626-BLS-D108,3,6/26/2017,177,2017,Deciduous shrub,Betula,Low,51.17,2.93
JR170626-BLS-D109,4,6/26/2017,177,2017,Deciduous shrub,Betula,Low,50.66,2.65
JR170626-BLS-D110,5,6/26/2017,177,2017,Deciduous shrub,Betula,Low,50.79,3.2
JR170626-BIS-D111,1,6/26/2017,177,2017,Deciduous shrub,Betula,Intermediate,52.21,2.85
JR170626-BIS-D112,2,6/26/2017,177,2017,Deciduous shrub,Betula,Intermediate,52.99,3.29
JR170626-BIS-D113,3,6/26/2017,177,2017,Deciduous shrub,Betula,Intermediate,52.24,2.73
JR170626-BIS-D114,4,6/26/2017,177,2017,Deciduous shrub,Betula,Intermediate,52.74,3.36
JR170626-BIS-D115,5,6/26/2017,177,2017,Deciduous shrub,Betula,Intermediate,52.11,3.66
JR170626-BAS-D116,1,6/26/2017,177,2017,Deciduous shrub,Betula,Ambient,47.57,3.63
JR170626-BAS-D117,2,6/26/2017,177,2017,Deciduous shrub,Betula,Ambient,50.91,2.64
JR170626-BAS-D118,3,6/26/2017,177,2017,Deciduous shrub,Betula,Ambient,,
JR170626-BAS-D119,4,6/26/2017,177,2017,Deciduous shrub,Betula,Ambient,51.06,2.78
JR170626-BAS-D120,5,6/26/2017,177,2017,Deciduous shrub,Betula,Ambient,52.13,3.03
JR170626-ELS-D121,1,6/26/2017,177,2017,Sedge,Eriophorum,Low,48.37,2.49
JR170626-ELS-D122,2,6/26/2017,177,2017,Sedge,Eriophorum,Low,48.24,2.13
JR170626-ELS-D123,3,6/26/2017,177,2017,Sedge,Eriophorum,Low,48.45,2
JR170626-ELS-D124,4,6/26/2017,177,2017,Sedge,Eriophorum,Low,48.08,2.25
JR170626-ELS-D125,5,6/26/2017,177,2017,Sedge,Eriophorum,Low,46.68,1.95
JR170626-EIS-D126,1,6/26/2017,177,2017,Sedge,Eriophorum,Intermediate,49.11,2.04
JR170626-EIS-D127,2,6/26/2017,177,2017,Sedge,Eriophorum,Intermediate,48.74,2.59
JR170626-EIS-D128,3,6/26/2017,177,2017,Sedge,Eriophorum,Intermediate,48.59,2.43
JR170626-EIS-D129,4,6/26/2017,177,2017,Sedge,Eriophorum,Intermediate,47.56,2.37
JR170626-EIS-D130,5,6/26/2017,177,2017,Sedge,Eriophorum,Intermediate,48.25,2.03
JR170626-EAS-D131,1,6/26/2017,177,2017,Sedge,Eriophorum,Ambient,48.5,1.51
JR170626-EAS-D132,2,6/26/2017,177,2017,Sedge,Eriophorum,Ambient,48.06,2.99
JR170626-EAS-D133,3,6/26/2017,177,2017,Sedge,Eriophorum,Ambient,50.65,1.65
JR170626-EAS-D134,4,6/26/2017,177,2017,Sedge,Eriophorum,Ambient,46.07,1.63
JR170626-EAS-D135,5,6/26/2017,177,2017,Sedge,Eriophorum,Ambient,48.57,2
JR170626-CLS-D136,1,6/26/2017,177,2017,Sedge,Carex,Low,48.23,3.53
JR170626-CLS-D137,2,6/26/2017,177,2017,Sedge,Carex,Low,45.86,3.08
JR170626-CLS-D138,3,6/26/2017,177,2017,Sedge,Carex,Low,47.24,2.9
JR170626-CLS-D139,4,6/26/2017,177,2017,Sedge,Carex,Low,47.12,2.9
JR170626-CLS-D140,5,6/26/2017,177,2017,Sedge,Carex,Low,47.99,2.95
JR170626-CIS-D141,1,6/26/2017,177,2017,Sedge,Carex,Intermediate,45.53,3.46
JR170626-CIS-D142,2,6/26/2017,177,2017,Sedge,Carex,Intermediate,46.69,3.06
JR170626-CIS-D143,3,6/26/2017,177,2017,Sedge,Carex,Intermediate,,
JR170626-CIS-D144,4,6/26/2017,177,2017,Sedge,Carex,Intermediate,48,3.3
JR170626-CIS-D145,5,6/26/2017,177,2017,Sedge,Carex,Intermediate,45.3,3.49
JR170626-CAS-D146,1,6/26/2017,177,2017,Sedge,Carex,Ambient,46.23,3.5
JR170626-CAS-D147,2,6/26/2017,177,2017,Sedge,Carex,Ambient,45.47,3.09
JR170626-CAS-D148,3,6/26/2017,177,2017,Sedge,Carex,Ambient,45.74,2.89
JR170626-CAS-D149,4,6/26/2017,177,2017,Sedge,Carex,Ambient,45.56,3.14
JR170626-CAS-D150,5,6/26/2017,177,2017,Sedge,Carex,Ambient,47.67,3.29
JR170626-LLS-D151,1,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Low,52.92,1.51
JR170626-LLS-D152,2,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Low,,
JR170626-LLS-D153,3,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Low,53.05,1.69
JR170626-LLS-D154,4,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Low,54.15,1.78
JR170626-LLS-D155,5,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Low,53.1,1.52
JR170626-LIS-D156,1,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Intermediate,53.94,1.34
JR170626-LIS-D157,2,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Intermediate,52.15,1.59
JR170626-LIS-D158,3,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Intermediate,53.64,1.75
JR170626-LIS-D159,4,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Intermediate,53.57,1.56
JR170626-LIS-D160,5,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Intermediate,,1.5
JR170626-LAS-D161,1,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Ambient,53.08,1.56
JR170626-LAS-D162,2,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Ambient,52.67,1.61
JR170626-LAS-D163,3,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Ambient,,
JR170626-LAS-D164,4,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Ambient,52.25,1.47
JR170626-LAS-D165,5,6/26/2017,177,2017,Evergreen dwarf shrub,Ledum,Ambient,53.63,1.59
JR170626-VLS-D166,1,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Low,51.05,1.03
JR170626-VLS-D167,2,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Low,51.61,0.78
JR170626-VLS-D168,3,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Low,51.02,1.12
JR170626-VLS-D169,4,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Low,52.13,0.82
JR170626-VLS-D170,5,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Low,52.11,0.82
JR170626-VIS-D171,1,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,52.36,1.28
JR170626-VIS-D172,2,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,51.31,0.63
JR170626-VIS-D173,3,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,49.57,0.76
JR170626-VIS-D174,4,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,52.83,0.84
JR170626-VIS-D175,5,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,52.94,1.56
JR170626-VAS-D176,1,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.84,0.88
JR170626-VAS-D177,2,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Ambient,50.29,0.86
JR170626-VAS-D178,3,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.69,0.92
JR170626-VAS-D179,4,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.42,1.1
JR170626-VAS-D180,5,6/26/2017,177,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.97,0.93
JR170703-SLS-D181,1,7/3/2017,184,2017,Deciduous shrub,Salix,Low,52.9,2.74
JR170703-SLS-D182,2,7/3/2017,184,2017,Deciduous shrub,Salix,Low,52.32,2.45
JR170703-SLS-D183,3,7/3/2017,184,2017,Deciduous shrub,Salix,Low,52.6,2.77
JR170703-SLS-D184,4,7/3/2017,184,2017,Deciduous shrub,Salix,Low,53.55,2.68
JR170703-SLS-D185,5,7/3/2017,184,2017,Deciduous shrub,Salix,Low,52.22,2.66
JR170703-SIS-D186,1,7/3/2017,184,2017,Deciduous shrub,Salix,Intermediate,52.84,3.21
JR170703-SIS-D187,2,7/3/2017,184,2017,Deciduous shrub,Salix,Intermediate,52.67,3.45
JR170703-SIS-D188,3,7/3/2017,184,2017,Deciduous shrub,Salix,Intermediate,52.81,3.67
JR170703-SIS-D189,4,7/3/2017,184,2017,Deciduous shrub,Salix,Intermediate,52.39,3.71
JR170703-SIS-D190,5,7/3/2017,184,2017,Deciduous shrub,Salix,Intermediate,52.03,3.88
JR170703-SAS-D191,1,7/3/2017,184,2017,Deciduous shrub,Salix,Ambient,52.54,2.76
JR170703-SAS-D192,2,7/3/2017,184,2017,Deciduous shrub,Salix,Ambient,52.77,2.72
JR170703-SAS-D193,3,7/3/2017,184,2017,Deciduous shrub,Salix,Ambient,52.48,2.75
JR170703-SAS-D194,4,7/3/2017,184,2017,Deciduous shrub,Salix,Ambient,52.96,2.81
JR170703-SAS-D195,5,7/3/2017,184,2017,Deciduous shrub,Salix,Ambient,52.49,2.83
JR170703-BLS-D196,1,7/3/2017,184,2017,Deciduous shrub,Betula,Low,53.15,2.97
JR170703-BLS-D197,2,7/3/2017,184,2017,Deciduous shrub,Betula,Low,53.47,2.62
JR170703-BLS-D198,3,7/3/2017,184,2017,Deciduous shrub,Betula,Low,53.74,3.04
JR170703-BLS-D199,4,7/3/2017,184,2017,Deciduous shrub,Betula,Low,52.71,2.69
JR170703-BLS-D200,5,7/3/2017,184,2017,Deciduous shrub,Betula,Low,45.42,3.65
JR170703-BIS-D201,1,7/3/2017,184,2017,Deciduous shrub,Betula,Intermediate,51.89,4.44
JR170703-BIS-D202,2,7/3/2017,184,2017,Deciduous shrub,Betula,Intermediate,52.18,3.48
JR170703-BIS-D203,3,7/3/2017,184,2017,Deciduous shrub,Betula,Intermediate,52.16,4
JR170703-BIS-D204,4,7/3/2017,184,2017,Deciduous shrub,Betula,Intermediate,43.01,3.19
JR170703-BIS-D205,5,7/3/2017,184,2017,Deciduous shrub,Betula,Intermediate,51.99,3.7
JR170703-BAS-D206,1,7/3/2017,184,2017,Deciduous shrub,Betula,Ambient,52.85,2.65
JR170703-BAS-D207,2,7/3/2017,184,2017,Deciduous shrub,Betula,Ambient,51.51,2.4
JR170703-BAS-D208,3,7/3/2017,184,2017,Deciduous shrub,Betula,Ambient,53.01,2.86
JR170703-BAS-D209,4,7/3/2017,184,2017,Deciduous shrub,Betula,Ambient,52.75,2.62
JR170703-BAS-D210,5,7/3/2017,184,2017,Deciduous shrub,Betula,Ambient,52.27,2.94
JR170703-ELS-D211,1,7/3/2017,184,2017,Sedge,Eriophorum,Low,48.53,2.26
JR170703-ELS-D212,2,7/3/2017,184,2017,Sedge,Eriophorum,Low,48.5,2.42
JR170703-ELS-D213,3,7/3/2017,184,2017,Sedge,Eriophorum,Low,49.09,2.6
JR170703-ELS-D214,4,7/3/2017,184,2017,Sedge,Eriophorum,Low,48.59,2.29
JR170703-ELS-D215,5,7/3/2017,184,2017,Sedge,Eriophorum,Low,48.64,2.3
JR170703-EIS-D216,1,7/3/2017,184,2017,Sedge,Eriophorum,Intermediate,48.43,2.3
JR170703-EIS-D217,2,7/3/2017,184,2017,Sedge,Eriophorum,Intermediate,48.77,2.55
JR170703-EIS-D218,3,7/3/2017,184,2017,Sedge,Eriophorum,Intermediate,47.96,2.5
JR170703-EIS-D219,4,7/3/2017,184,2017,Sedge,Eriophorum,Intermediate,49.16,2.98
JR170703-EIS-D220,5,7/3/2017,184,2017,Sedge,Eriophorum,Intermediate,48.9,3.04
JR170703-EAS-D221,1,7/3/2017,184,2017,Sedge,Eriophorum,Ambient,48.67,2.37
JR170703-EAS-D222,2,7/3/2017,184,2017,Sedge,Eriophorum,Ambient,48.48,2.55
JR170703-EAS-D223,3,7/3/2017,184,2017,Sedge,Eriophorum,Ambient,49.13,2.95
JR170703-EAS-D224,4,7/3/2017,184,2017,Sedge,Eriophorum,Ambient,48.43,2.78
JR170703-EAS-D225,5,7/3/2017,184,2017,Sedge,Eriophorum,Ambient,48.61,2.29
JR170703-CLS-D226,1,7/3/2017,184,2017,Sedge,Carex,Low,47.64,2.58
JR170703-CLS-D227,2,7/3/2017,184,2017,Sedge,Carex,Low,47.72,3.28
JR170703-CLS-D228,3,7/3/2017,184,2017,Sedge,Carex,Low,47.98,3.01
JR170703-CLS-D229,4,7/3/2017,184,2017,Sedge,Carex,Low,47.38,2.9
JR170703-CLS-D230,5,7/3/2017,184,2017,Sedge,Carex,Low,47.96,3.35
JR170703-CIS-D231,1,7/3/2017,184,2017,Sedge,Carex,Intermediate,46.45,3.72
JR170703-CIS-D232,2,7/3/2017,184,2017,Sedge,Carex,Intermediate,48.44,3.35
JR170703-CIS-D233,3,7/3/2017,184,2017,Sedge,Carex,Intermediate,47.65,3.33
JR170703-CIS-D234,4,7/3/2017,184,2017,Sedge,Carex,Intermediate,47.75,3.09
JR170703-CIS-D235,5,7/3/2017,184,2017,Sedge,Carex,Intermediate,39.28,2.83
JR170703-CAS-D236,1,7/3/2017,184,2017,Sedge,Carex,Ambient,47.99,2.75
JR170703-CAS-D237,2,7/3/2017,184,2017,Sedge,Carex,Ambient,48.43,3.27
JR170703-CAS-D238,3,7/3/2017,184,2017,Sedge,Carex,Ambient,47.37,2.47
JR170703-CAS-D239,4,7/3/2017,184,2017,Sedge,Carex,Ambient,43.86,2.33
JR170703-LLS-D241,1,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Low,54.72,1.7
JR170703-LLS-D242,2,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Low,52.97,1.53
JR170703-LLS-D243,3,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Low,54.81,1.62
JR170703-LLS-D244,4,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Low,55.52,1.64
JR170703-LLS-D245,5,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Low,55.09,1.82
JR170703-LIS-D246,1,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Intermediate,54.5,1.36
JR170703-LIS-D247,2,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Intermediate,55.1,1.61
JR170703-LIS-D248,3,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Intermediate,54.5,1.37
JR170703-LIS-D249,4,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Intermediate,54.79,1.55
JR170703-LIS-D250,5,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Intermediate,53.72,1.99
JR170703-LAS-D251,1,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Ambient,54.87,1.66
JR170703-LAS-D252,2,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Ambient,55.55,1.77
JR170703-LAS-D253,3,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Ambient,54.41,1.52
JR170703-LAS-D254,4,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Ambient,55.78,1.41
JR170703-LAS-D255,5,7/3/2017,184,2017,Evergreen dwarf shrub,Ledum,Ambient,55.35,1.74
JR170703-VLS-D256,1,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Low,52.77,0.89
JR170703-VLS-D257,2,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Low,52.89,0.9
JR170703-VLS-D258,3,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Low,52.72,0.96
JR170703-VLS-D259,4,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Low,51.92,0.93
JR170703-VLS-D260,5,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Low,51.82,1.01
JR170703-VIS-D261,1,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,51.86,0.91
JR170703-VIS-D262,2,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,52.38,1.02
JR170703-VIS-D263,3,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,52.6,0.81
JR170703-VIS-D264,4,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,51.79,0.93
JR170703-VIS-D265,5,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Intermediate,52.05,0.83
JR170703-VAS-D266,1,7/3/2017,184,2017,Evergreen dwarf shrub,Vaccinium,Ambient,51.51,0.84
